Name,
Age,
Gender,M
Seen,Y
Birth,
Exp_with_coding,Y
Education,Highschool
32.074,-126.0
32.115,-126.0
32.157,-126.0
32.199,-126.0
32.241,-126.0
32.282,-126.0
32.324,-126.0
32.366,-126.0
32.407,-126.0
32.449,-126.0
32.491,-126.0
32.532,-126.0
32.574,-126.0
32.616,-126.0
32.658,-126.0
32.699,-126.0
32.741,-126.0
32.783,-126.0
32.824,-126.0
32.866,-126.0
32.908,-126.0
32.95,-126.0
32.991,-126.0
33.033,-126.0
33.075,-126.0
33.116,-126.0
33.158,-126.0
33.2,-126.0
33.242,-126.0
33.283,-126.0
33.325,-126.0
33.367,-126.0
33.408,-126.0
33.45,-126.0
33.492,-126.0
33.533,-126.0
33.575,-126.0
33.617,-126.0
33.659,-126.0
33.7,-126.0
33.742,-126.0
33.784,-126.0
33.825,-126.0
33.867,-126.0
33.909,-126.0
33.951,-126.0
33.992,-126.0
34.034,-126.0
34.076,-126.0
34.117,-126.0
34.159,-126.0
34.201,-126.0
34.243,-126.0
34.284,-126.0
34.326,-126.0
34.368,-126.0
34.409,-126.0
34.451,-126.0
34.493,-126.0
34.534,-126.0
34.576,-126.0
34.618,-126.0
34.66,-126.0
34.701,-126.0
34.743,-126.0
34.785,-126.0
34.826,-126.0
34.868,-126.0
34.91,-126.0
34.952,-126.0
34.993,-126.0
35.035,-126.0
35.077,-126.0
35.118,-126.0
35.16,-126.0
35.202,-126.0
35.244,-126.0
35.285,-126.0
35.327,-126.0
35.369,-126.0
35.41,-126.0
35.452,-126.0
35.494,-126.0
35.535,-126.0
35.577,-126.0
35.619,-126.0
35.661,-126.0
35.702,-126.0
35.744,-126.0
35.786,-126.0
35.827,-126.0
35.869,-126.0
35.911,-126.0
35.953,-126.0
35.994,-126.0
36.036,-126.0
36.078,-126.0
36.119,-126.0
36.161,-126.0
36.203,-126.0
36.245,-126.0
36.286,-126.0
36.328,-126.0
36.37,-126.0
36.411,-126.0
36.453,-126.0
36.495,-126.0
36.536,-126.0
36.578,-126.0
36.62,-126.0
36.662,-126.0
36.703,-126.0
36.745,-126.0
36.787,-126.0
36.828,-126.0
36.87,-126.0
36.912,-126.0
36.954,-126.0
36.995,-126.0
37.037,-126.0
37.079,-126.0
37.12,-126.0
37.162,-126.0
37.204,-126.0
37.246,-126.0
37.287,-126.0
37.329,-126.0
37.371,-126.0
37.412,-126.0
37.454,-126.0
37.496,-126.0
37.537,-126.0
37.579,-126.0
37.621,-126.0
37.663,-126.0
37.704,-126.0
37.746,-126.0
37.788,-126.0
37.829,-126.0
37.871,-126.0
37.913,-126.0
37.955,-126.0
37.996,-126.0
38.038,-126.0
38.08,-126.0
38.121,-126.0
38.163,-126.0
38.205,-126.0
38.247,-126.0
38.288,-126.0
38.33,-126.0
38.372,-126.0
38.413,-126.0
38.455,-126.0
38.497,-126.0
38.538,-126.0
38.58,-126.0
38.622,-126.0
38.664,-126.0
38.705,-126.0
38.747,-126.0
38.789,-126.0
38.83,-126.0
38.872,-126.0
38.914,-126.0
38.956,-126.0
38.997,-126.0
39.039,-126.0
39.081,-126.0
39.122,-126.0
39.164,-126.0
39.206,-126.0
39.248,-126.0
39.289,-126.0
39.331,-126.0
39.373,-126.0
39.414,-126.0
39.456,-126.0
39.498,-126.0
39.539,-126.0
39.581,-126.0
39.623,-126.0
39.665,-126.0
39.706,-126.0
39.748,-126.0
39.79,-126.0
39.831,-126.0
39.873,-126.0
39.915,-126.0
39.957,-126.0
39.998,-126.0
40.04,-126.0
40.082,-126.0
40.123,-126.0
40.165,-126.0
40.207,-126.0
40.249,-126.0
40.29,-126.0
40.332,-126.0
40.374,-126.0
40.415,-126.0
40.457,-126.0
40.499,-126.0
40.54,-126.0
40.582,-126.0
40.624,-126.0
40.666,-126.0
40.707,-126.0
40.749,-126.0
40.791,-126.0
40.832,-126.0
40.874,-126.0
40.916,-126.0
40.958,-126.0
40.999,-126.0
41.041,-126.0
41.083,-126.0
41.124,-126.0
41.166,-126.0
41.208,-126.0
41.25,-126.0
41.291,-126.0
41.333,-126.0
41.375,-126.0
41.416,-126.0
41.458,-126.0
41.5,-126.0
41.541,-126.0
41.583,-126.0
41.625,-126.0
41.667,-126.0
41.708,-126.0
41.75,-126.0
41.792,-126.0
41.833,-126.0
41.875,-126.0
41.917,-126.0
41.959,-126.0
42.0,-126.0
42.042,-126.0
42.084,-126.0
42.125,-126.0
42.167,-126.0
42.209,-126.0
42.251,-126.0
42.292,-126.0
42.334,-126.0
42.376,-126.0
42.417,-126.0
42.459,-126.0
42.501,-126.0
42.542,-126.0
42.584,-126.0
42.626,-126.0
42.668,-126.0
42.709,-126.0
42.751,-126.0
42.793,-126.0
42.834,-126.0
42.876,-126.0
42.918,-126.0
42.96,-126.0
43.001,-126.0
43.043,-126.0
43.085,-126.0
43.126,-126.0
43.168,-126.0
43.21,-126.0
43.252,-126.0
43.293,-126.0
43.335,-126.0
43.377,-126.0
43.418,-126.0
43.46,-126.0
43.502,-126.0
43.543,-126.0
43.585,-126.0
43.627,-126.0
43.669,-126.0
43.71,-126.0
43.752,-126.0
43.794,-126.0
43.835,-126.0
43.877,-126.0
43.919,-126.0
43.961,-126.0
44.002,-126.0
44.044,-126.0
44.086,-126.0
44.127,-126.0
44.169,-126.0
44.211,-126.0
44.253,-126.0
44.294,-126.0
44.336,-126.0
44.378,-126.0
44.419,-126.0
44.461,-126.0
44.503,-126.0
44.544,-126.0
44.586,-126.0
44.628,-126.0
44.67,-126.0
44.711,-126.0
44.753,-109.0
44.795,-48.0
44.836,-20.0
44.878,-8.0
44.92,-8.0
44.962,-8.0
45.003,-8.0
45.045,-8.0
45.087,-8.0
45.128,-8.0
45.17,-8.0
45.212,150.0
45.254,161.0
45.295,158.0
45.337,157.0
45.379,157.0
45.42,158.0
45.462,167.0
45.504,174.0
45.545,175.0
45.587,175.0
45.629,175.0
45.671,175.0
45.712,175.0
45.754,175.0
45.796,175.0
45.837,175.0
45.879,175.0
45.921,175.0
45.963,175.0
46.004,175.0
46.046,175.0
46.088,175.0
46.129,175.0
46.171,175.0
46.213,175.0
46.255,175.0
46.296,175.0
46.338,175.0
46.38,175.0
46.421,175.0
46.463,175.0
46.505,175.0
46.546,175.0
46.588,175.0
46.63,175.0
46.672,175.0
46.713,175.0
46.755,175.0
46.797,175.0
46.838,175.0
46.88,175.0
46.922,175.0
46.964,175.0
47.005,175.0
47.047,175.0
47.089,175.0
47.13,175.0
47.172,175.0
47.214,175.0
47.256,175.0
47.297,175.0
47.339,175.0
47.381,175.0
47.422,175.0
47.464,175.0
47.506,175.0
47.547,175.0
47.589,175.0
47.631,175.0
47.673,175.0
47.714,175.0
47.756,175.0
47.798,175.0
47.839,175.0
47.881,175.0
47.923,175.0
47.965,175.0
48.006,175.0
48.048,175.0
48.09,175.0
48.131,175.0
48.173,175.0
48.215,175.0
48.257,175.0
48.298,175.0
48.34,175.0
48.382,175.0
48.423,175.0
48.465,175.0
48.507,175.0
48.548,175.0
48.59,175.0
48.632,175.0
48.674,175.0
48.715,175.0
48.757,175.0
48.799,175.0
48.84,175.0
48.882,175.0
48.924,175.0
48.966,175.0
49.007,175.0
49.049,175.0
49.091,175.0
49.132,175.0
49.174,175.0
49.216,175.0
49.258,175.0
49.299,175.0
49.341,175.0
49.383,175.0
49.424,175.0
49.466,175.0
49.508,175.0
49.549,175.0
49.591,175.0
49.633,175.0
49.675,175.0
49.716,175.0
49.758,175.0
49.8,175.0
49.841,175.0
49.883,175.0
49.925,175.0
49.967,175.0
50.008,175.0
50.05,175.0
50.092,175.0
50.133,175.0
50.175,175.0
50.217,175.0
50.259,175.0
50.3,175.0
50.342,175.0
50.384,175.0
50.425,175.0
50.467,175.0
50.509,175.0
50.55,175.0
50.592,175.0
50.634,175.0
50.676,175.0
50.717,175.0
50.759,175.0
50.801,175.0
50.842,175.0
50.884,175.0
50.926,175.0
50.968,175.0
51.009,175.0
51.051,175.0
51.093,175.0
51.134,175.0
51.176,175.0
51.218,175.0
51.26,175.0
51.301,175.0
51.343,175.0
51.385,175.0
51.426,175.0
51.468,175.0
51.51,175.0
51.551,175.0
51.593,175.0
51.635,175.0
51.677,175.0
51.718,175.0
51.76,175.0
51.802,175.0
51.843,175.0
51.885,175.0
51.927,175.0
51.969,175.0
52.01,175.0
52.052,175.0
52.094,175.0
52.135,175.0
52.177,175.0
52.219,175.0
52.261,175.0
52.302,175.0
52.344,175.0
52.386,175.0
52.427,175.0
52.469,175.0
52.511,175.0
52.552,175.0
52.594,175.0
52.636,175.0
52.678,175.0
52.719,175.0
52.761,175.0
52.803,175.0
52.844,175.0
52.886,175.0
52.928,175.0
52.97,175.0
53.011,175.0
53.053,175.0
53.095,175.0
53.136,175.0
53.178,175.0
53.22,175.0
53.262,175.0
53.303,175.0
53.345,175.0
53.387,175.0
53.428,175.0
53.47,175.0
53.512,175.0
53.553,175.0
53.595,175.0
53.637,175.0
53.679,175.0
53.72,175.0
53.762,175.0
53.804,175.0
53.845,175.0
53.887,175.0
53.929,175.0
53.971,175.0
54.012,175.0
54.054,175.0
54.096,175.0
54.137,175.0
54.179,175.0
54.221,175.0
54.263,175.0
54.304,175.0
54.346,175.0
54.388,175.0
54.429,175.0
54.471,175.0
54.513,175.0
54.554,175.0
54.596,175.0
54.638,175.0
54.68,175.0
54.721,175.0
54.763,175.0
54.805,175.0
54.846,175.0
54.888,175.0
54.93,175.0
54.972,175.0
55.013,175.0
55.055,175.0
55.097,175.0
55.138,175.0
55.18,175.0
55.222,175.0
55.264,175.0
55.305,175.0
55.347,175.0
55.389,175.0
55.43,175.0
55.472,175.0
55.514,175.0
55.555,175.0
55.597,175.0
55.639,175.0
55.681,175.0
55.722,175.0
55.764,175.0
55.806,175.0
55.847,175.0
55.889,175.0
55.931,175.0
55.973,175.0
56.014,175.0
56.056,175.0
56.098,175.0
56.139,175.0
56.181,175.0
56.223,175.0
56.265,175.0
56.306,175.0
56.348,175.0
56.39,175.0
56.431,175.0
56.473,175.0
56.515,175.0
56.556,175.0
56.598,175.0
56.64,175.0
56.682,175.0
56.723,175.0
56.765,175.0
56.807,175.0
56.848,175.0
56.89,175.0
56.932,175.0
56.974,175.0
57.015,175.0
57.057,175.0
57.099,175.0
57.14,175.0
57.182,175.0
57.224,175.0
57.266,175.0
57.307,175.0
57.349,175.0
57.391,175.0
57.432,175.0
57.474,175.0
57.516,175.0
57.557,175.0
57.599,175.0
57.641,175.0
57.683,175.0
57.724,175.0
57.766,175.0
57.808,175.0
57.849,175.0
57.891,175.0
57.933,175.0
57.975,175.0
58.016,175.0
58.058,175.0
58.1,175.0
58.141,175.0
58.183,175.0
58.225,175.0
58.267,175.0
58.308,175.0
58.35,175.0
58.392,175.0
58.433,175.0
58.475,175.0
58.517,175.0
58.558,175.0
58.6,175.0
58.642,175.0
58.684,175.0
58.725,175.0
58.767,175.0
58.809,175.0
58.85,175.0
58.892,175.0
58.934,175.0
58.976,175.0
59.017,175.0
59.059,175.0
